No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus
72,Biological Sciences,"Prof. Toju, Hirokazu",GS of Biostudies / Center for Living Systems Information Science (CeLiSIS),1. Ecosystem structure and dynamics 2. Plant-associated microbiomes 3. Fish-associated microbiomes 4. Metagenomics,#Microbiomes #Ecosystem Sustainability #Theoretical Ecology #Biodiversity,https://sites.google,Yoshida
73,Biological Sciences,"Prof. Watanabe, Naoki",GS of Biostudies,1. Single-molecule imaging 2. Mechanotransduction 3. Drug paradox 4. Multiple disease marker detector,#Multiplexed Super- Resolution Microscopy #Tissue & Neural Remodeling #Cancer Drugs,http://www.pharm 2.med.kyoto- u.ac.jp/2_index.ht,Yoshida
74,Biological Sciences,"Assoc. Prof. Yamano, Takashi",GS of Biostudies,Molecular biology of phase-separated organelles in aquatic photosynthesis,#Live-cell Imaging #Organelle #Phase Separation #Machine Learning,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida
75,Biological Sciences,"Prof. Yasuhara, Takaaki",GS of Biostudies,"1. The molecular mechanisms of cellular stress response 2. Genomic instability induced by abnormal transcription-associated stresses 3. The stress responses mediated by phase separation of RNA-binding proteins 4. Disease-related genome abnormalities caused by aging 5. The fundamental mechanism of diseases, such as cancer and chromosomal anomaly",#Cellular Stress Response #Genomic Instability #Disease Mechanism,https://www.rbc.k yoto- u.ac.jp/genome_st,Yoshida
76,Biological Sciences,"Prof. Shintaku, Hirofumi",Institute for Life and Medical Sciences (LiMe),1. Nanoelectrokinetics 2. Cell mechanics 3. Cancer biology,#Single Cell #RNA-seq #Microfluidics,https://www.infron,Yoshida
77,Biological Sciences,"Assoc. Prof. Nagata, Takashi",Institute of Advanced Energy (IAE),1. Obtain value-added compounds and sustainable energy from woody biomass to achieve decarbonization 2. Elucidate functions and dysfunctions of disease-related proteins and nucleic acids 3. Investigate structure–function relationships of biomacromolecules,#Woody Biomass #Decarbonization #Diseases #Structural Biology #Biophysics,http://www.iae.ky oto-u.ac.jp/bio/,Uji
78,Biological Sciences,"Assoc. Prof. Ikeya, Makoto",Center for iPS Cell Research and Application (CiRA),1. iPSC-based disease modeling 2. iPSC-based cell therapy 3. Developmental biology using iPSCs,# Developmental biology # MSC # Neural crest cells,Research Overview | Makoto Ikeya (Associate Professor) | CiRA,Yoshida
79,Biological Sciences,"Junior Associate Professor Iwasaki, Mio",Center for iPS Cell Research and Application (CiRA),How is cell fate control selective for a specific type of cells?,"Protein analysis, proteomics, iPS cells, cell fate control",https://iwasaki- lab.cira.kyoto- u.ac.jp/en/,Yoshida
80,Biological Sciences,Assoc. Prof. Knut Woltjen,Center for iPS Cell Research and Application (CiRA),1. Human genome analysis and genome editing 2. iPSC-based disease modeling and cell therapy 3. Protective or beneficial genetic variants impacting human health and aging,"#Genome engineering, gene editing, CRISPR- Cas9, transposon, recombinase, DNA repair, homologous recombination, recombinant DNA #Human genetics, genome sequencing, variants, and bioinformatic analysis #Cell therapy, gene therapy, ex vivo cell engineering, induced pluripotent stem cells","https://woltjen.cir a.kyoto-u.ac.jp, https://youtu.be/tZ",Yoshida
81,Biological Sciences,"Associate Professor Shimobayashi, Shunsuke",Center for iPS Cell Research and Application (CiRA),Elucidation of the Principles and Functions of Non-Membranous Organelles via Phase Separation and Their Application to Cellular Reprogramming,"Phase separation, Biomolecular condensates, iPS cells",http://shimolab.cir,Yoshida
82,Biological Sciences,"Assoc. Prof. Hanya, Goro",Center for Ecological Research (CER),"Ecological adaptation of non-human primates, in particular digestion and gut microbiome","#primatology, #feeding ecology, #gut microbiome",https://www.ecolo gy.kyoto- u.ac.jp/~hanya/ind,Inuyama
83,Biological Sciences,"Prof. Motokawa, Masaharu",The Kyoto University Museum,1. Species diversity of terrestrial vertebrates in Asia 2. Formation history of Japanese islands' animal fauna 3. Variation and variability in morphology of mammals,#Taxonomy and Phylogeny #Zoogeography #Functional Morphology,https://zoo.zool.ky,Yoshida
